序号,标题,URL,播放量,弹幕数,上传时间,UP主
17,想当程序员  不推荐学习Python 的5个理由,//www.bilibili.com/video/BV1gV411b7Rg?from=search,55.5,4588,2021/1/26,技术胖
18,【Python】这可能是你见过的最简洁最没有废话的Python教程,//www.bilibili.com/video/BV1ws411i7Dr?from=search,53.5,2976,2016/7/7,shr1992
19,python教程2019版 6小时完全入门 并且达到能开发网站的能力 目前最好的python教程 （含中文翻译）,//www.bilibili.com/video/BV14J411U7hj?from=search,51.6,1.7,2019/11/16,舞松傾雲
20,【莫烦Python】Python 基础教程,//www.bilibili.com/video/BV1wW411Y7ai?from=search,48.4,7786,2017/12/4,莫烦Python
21,96天从小白炼成PYTHON开发大神-(2020同步更新),//www.bilibili.com/video/BV1j7411e7MD?from=search,43,1.2,2020/1/22,PY网红讲师_Alex大王
22,【沈醉】00后小姐姐竟然当了程序猿！菜鸡python实习生真实的一周【vlog】感叹秃头996生活不值得,//www.bilibili.com/video/BV1Rt411n7B1?from=search,43,583,2019/7/20,英俊的沈醉
23,python+opencv3.3视频教学 基础入门,//www.bilibili.com/video/BV1QW411F7e7?from=search,38.9,1.1,2018/6/16,Jai_wei
24,老男孩Python全栈开发29期全套(2020年3月开班)-同步更新,//www.bilibili.com/video/BV1QE41147hU?from=search,37.7,1.5,2020/3/5,程序员_Egon_爱根老师
25,天呐！清华大佬终于把Python做成漫画了如此幽默的学习教程是来拯救我的吗？,//www.bilibili.com/video/BV1wQ4y1d7qN?from=search,33.2,1296,2021/5/28,python-学习库
26,尚硅谷Python零基础入门教程全套完整版(自学Python资料齐全),//www.bilibili.com/video/BV1hW41197sB?from=search,30.1,1.1,2018/8/20,尚硅谷
27,3年Python程序员谈Python | 推不推荐学Python | 就业分析 | 除了Python还应该会什么 | Python程序员如何提高竞争力,//www.bilibili.com/video/BV1aJ411g7Gy?from=search,29,812,2019/9/22,是落拓呀
28,【用Python处理Excel数据中文全基础系列教程】,//www.bilibili.com/video/BV1m4411K7Tc?from=search,25.5,1136,2019/6/7,说到做到的橙橙橙
29,【老男孩教育】Python全栈 900集就业班（完结）B站最全,//www.bilibili.com/video/BV1aJ411H7Ej?from=search,25,5333,2020/1/10,逆风微笑的代码狗
30,全国计算机二级Python科目基础知识教程,//www.bilibili.com/video/BV1ht41187Aa?from=search,23.4,1.2,2019/1/20,悦焱
31,肝了一个月100道经典Python习题分享&amp;推荐一个查看代码运行原理的可视化工具,//www.bilibili.com/video/BV1LC4y1h7S2?from=search,22.9,117,2020/7/15,菜鸟程序员的日常
32,【莫烦Python】Tkinter 做简单的窗口视窗 Python GUI,//www.bilibili.com/video/BV1jW411Y7dL?from=search,22.8,2417,2017/12/4,莫烦Python
33,数据分析只用学4个工具？！！有哪些自学资料？如何自学？最短学习路径该怎么规划？SQL/Tableau/Python要学到什么程度？Python和R到底学哪个？,//www.bilibili.com/video/BV1fz4y1D7sy?from=search,22.7,323,2020/7/20,戴戴戴师兄
34,Python零基础到精通7天速成（2020全新合集）,//www.bilibili.com/video/BV1Gf4y1q7SG?from=search,22.4,4289,2020/11/3,IT编程界扛把子
35,清华计算机博士带你学-Python金融量化分析,//www.bilibili.com/video/BV1i741147LS?from=search,22.4,3611,2020/2/10,路飞学城小媛老师
36,Python自动化办公（可能是B站内容最全的！有源代码 适合小白~）,//www.bilibili.com/video/BV1y54y1i78U?from=search,22,714,2020/8/7,Python自动化办公社区
37,Python Qt 图形界面编程 - 华为大叔7天带你入门 - PySide2 PyQt5 PyQt PySide,//www.bilibili.com/video/BV1cJ411R7bP?from=search,21.8,2021,2019/11/24,白月黑羽编程
38,【大熊课堂】Python零基础入门必看动画课【2021】python最新案例实战,//www.bilibili.com/video/BV1Qx411Z7Xk?from=search,21.3,3656,2019/7/10,大熊课堂
39,黑马程序员Python深入浅出进阶教程【敢信？】收藏=点赞十倍,//www.bilibili.com/video/BV19441137xy?from=search,21.1,4689,2019/6/17,黑马程序员
40,为何要劝小白不学python,//www.bilibili.com/video/BV1Cp4y117AB?from=search,21,582,2020/3/29,程序员_Egon_爱根老师
41,膜拜！！！清华大牛把困扰我多年的 Python教程 讲明白了！先分享给大家,//www.bilibili.com/video/BV1ty4y1Y7b9?from=search,18.3,832,2021/2/18,python编程训练营
42,Python+Anaconda+PyCharm的安装和基本使用【适合完全零基础】不只是教你如何安装还告诉你为什么这么安装,//www.bilibili.com/video/BV1K7411c7EL?from=search,18.1,732,2020/2/22,ljp_summer
43,【尚学堂.百战程序员】高淇 Python 400集 （完结） #新版,//www.bilibili.com/video/BV1g441197MG?from=search,18.1,4482,2019/8/22,逆风微笑的代码狗
44,今天学到了python自动填Excel表格,//www.bilibili.com/video/BV1a7411x7f9?from=search,17.1,24,2020/2/1,DD小鹏
45,尚学堂百战程序员2021首发19980元python就业班全套视频教程—三联支持,//www.bilibili.com/video/BV1DT4y1A7Gb?from=search,16.9,1931,2021/1/20,java_python_大数据
46,2021全套Python 21天从入门到精通（自学小白必看！）,//www.bilibili.com/video/BV1Pr4y1M7oz?from=search,16.8,1415,2021/1/13,IT界老码农
47,当你学会python是什么感觉,//www.bilibili.com/video/BV14E411F7aV?from=search,16.3,208,2020/3/23,LinBc_
48,离谱！不愧是阿里人工智能专家10小时就把Python讲完了0基础细讲值得一学~,//www.bilibili.com/video/BV1ub4y197mu?from=search,15.8,315,2021/3/12,Python小白训练营
49,【偷着学Python(漫画版)】全网最爆笑的Python教程,//www.bilibili.com/video/BV1HK411577E?from=search,14.6,556,2020/4/28,狮范客
50,自学python一个月我终于写出了自己的软件可以方便下载b站视频,//www.bilibili.com/video/BV1sT4y1E7vo?from=search,13.6,62,2020/7/12,阿墨熙宁
51,不要在学Python了会了根本找不到工作！,//www.bilibili.com/video/BV1D5411u7Xw?from=search,13.1,180,2021/5/17,余胜军
52,2021年最新Python爬虫教程+实战项目案例（最新录制）,//www.bilibili.com/video/BV1i54y1h75W?from=search,12.8,4080,2021/3/5,路飞学城IT
53,黑马程序员Python教程4天快速入门Python数据挖掘系统精讲+实战案例,//www.bilibili.com/video/BV1xt411v7z9?from=search,12.8,847,2018/12/19,黑马程序员
54,Python开发96天0基础到大神(2021最新冲刺全网最佳教程),//www.bilibili.com/video/BV1Z64y1S72C?from=search,12,1593,2021/3/7,PY网红讲师_Alex大王
55,python编程基础入门【廖雪峰】,//www.bilibili.com/video/BV1zE41137Nm?from=search,12,757,2020/3/16,放羊Wa
56,Excel?+?Python?丝滑的自动记账体验！2.0版更新?表格分享【小课堂4】,//www.bilibili.com/video/BV1Ly4y117zj?from=search,11.9,100,2021/1/26,MickLife
57,【Python零基础】19天从零开始学Python,//www.bilibili.com/video/BV1gf4y1S7Y9?from=search,10.8,887,2020/4/21,妞妞不二
58,【Python零基础】19天从零开始学Python,//www.bilibili.com/video/BV1gf4y1S7Y9?from=search,10.8,887,2020/4/21,妞妞不二
59,《Python编程·从入门到实践》导读（全集更新中）,//www.bilibili.com/video/BV1xx411X73r?from=search,10,240,2019/7/1,学习熊猫
60,2021年新版 Python爬虫全套课程（学完可做项目）,//www.bilibili.com/video/BV1Wf4y1t7PC?from=search,9.7,366,2021/3/22,编程小秃子
61,清华大佬终于把Python整理成了漫画书让人茅塞顿开~（完整版）,//www.bilibili.com/video/BV1DV411E7am?from=search,9.6,33,2021/4/13,程序员梦梦
62,看完本视频若不能让你学通“Python”我将永远退出IT界,//www.bilibili.com/video/BV1Cf4y1W71r?from=search,9.3,1074,2021/4/8,Python代码狗
63,腾讯大佬终于把Python整理成了漫画书让人茅塞顿开~,//www.bilibili.com/video/BV1rU4y1h7UR?from=search,8.9,182,2021/4/10,程序员梦梦
64,北理工 嵩天/黄天宇/礼欣 Python语言程序设计,//www.bilibili.com/video/BV1uJ411s7wy?from=search,8.9,663,2019/12/26,岸芷汀兰香若蔟
65,10天学完Python爬虫全套教程现在分享给大家(B站最新),//www.bilibili.com/video/BV16f4y197D6?from=search,8.9,288,2020/8/11,Python_子木
66,【Python】零基础入门——面向对象编程（强烈推荐）,//www.bilibili.com/video/BV1A4411v7b2?from=search,8.7,3605,2019/5/8,Leofaith
67,[黑马程序员]python3.7从入门到入门（零基础）,//www.bilibili.com/video/BV1M741177ph?from=search,8.4,1567,2020/2/18,椅梦人
68,21天python从入门到精通（完结）,//www.bilibili.com/video/BV1cA411b7cK?from=search,7.8,25,2020/4/13,财税会计实操UP主
69,花1多买Python最全完整800多集的【保姆级】教程学到吐！,//www.bilibili.com/video/BV1dN411f7Cn?from=search,7.4,1043,2021/5/9,图灵程序员周瑜
70,学好Python办公自动化走遍天下都不怕让你10分钟干完2小时的活彻底解放双手放飞自我,//www.bilibili.com/video/BV1Ap4y1h7dV?from=search,6.9,87,2021/3/9,Python劝退师
71,Python全套视频教程（1000节）,//www.bilibili.com/video/BV1Jv411j7oc?from=search,6,104,2021/5/13,达内-程序猿
72,效率提升！超简单：用Python让办公飞起来十分钟干完两小时的活Python自动化办公就是这么爽,//www.bilibili.com/video/BV1Uo4y1f77V?from=search,5.5,25,2021/4/22,Python小白训练营
73,花了3多买的Python全套教程学完可就业~从入门到人工智能涵盖各个方面现在免费分享给大家（2021最新Python全栈开发教程适合零基础）,//www.bilibili.com/video/BV1gK4y1o7Sn?from=search,5.5,1031,2021/4/15,Python小清风
74,新手用Python接单一个50块七天时间1260方法经验分享让你早日实现财富自由！！！,//www.bilibili.com/video/BV1hh411Y7ye?from=search,5,191,2021/5/30,自学Python编程
75,花了3多买的Python教程全套现在分享给大家入门到精通(Python全栈开发教程)【全套附配套资料工具】,//www.bilibili.com/video/BV1mB4y1F74v?from=search,3.7,169,2021/5/18,码歌
76,保姆级教程！复旦教授教你用Python玩转职场中Excel职场小白必看篇。,//www.bilibili.com/video/BV1xh411m7dc?from=search,3.7,1010,2021/5/7,Python学习训练营
77,学python时差点学到自闭多亏了五个网站才让我坚持了下来,//www.bilibili.com/video/BV1Qf4y1b7Ru?from=search,3.4,298,2021/6/5,史蒂芬卡卡
78,价值26800元的python+人工智能课程 学完年薪30w,//www.bilibili.com/video/BV1YV411j7fV?from=search,2.7,140,2021/5/21,java_python_大数据
79,新手学python就要去接单不然别学！10个靠谱接单网站推荐,//www.bilibili.com/video/BV1ZK411w7Sm?from=search,2.2,15,2020/10/16,在下会编程
80,耗时600小时整理《Python教程全套》完全入门版分享一起学习_高清附字幕 (Python编程开发),//www.bilibili.com/video/BV1Sw411Z779?from=search,2.1,307,2021/6/9,Python_子木
81,通过Python掌握线性代数,//www.bilibili.com/video/BV1Hf4y1B7Bf?from=search,1.9,43,2020/10/19,计算机与AI
82,学了Python不知道去接单血亏啊一单赚了400块经验分享,//www.bilibili.com/video/BV17V41177Et?from=search,1.9,173,2021/5/29,Python自学丫
83,Python做副业也很香新手入门级一单200块接单的四种骚姿势大学实现经济自由,//www.bilibili.com/video/BV1oB4y1u7wE?from=search,1.6,193,2021/6/5,Python编程爱好者丫
84,【建议收藏】按这个学躺在都能学会python绝对是最佳学习路线,//www.bilibili.com/video/BV1Cf4y1D7TK?from=search,1.6,8,2020/9/28,在下会编程
85,GitHub又出一款python神器-神器工具统一Excel加Python办公福音！！！,//www.bilibili.com/video/BV1ab4y1Z7Fh?from=search,1.5,2,2021/6/4,Python情报站
86,这应该是全网最全的python库了吧学python的都应该知道,//www.bilibili.com/video/BV1At4y1e7Ap?from=search,1.4,168,2020/10/20,python接单
87,Python 96天从零基础入门到放弃系列,//www.bilibili.com/video/BV12K4y1g7cs?from=search,1.3,754,2021/6/5,Python训练营
88,膜拜！清华美女博士终于把Python3.9教程讲得明明白白让人茅塞顿开！（Python全栈工程师教程）,//www.bilibili.com/video/BV19v411V7vH?from=search,1.1,128,2021/6/7,Python-清风
89,Python全栈开发从零基础到就业价值一多的Python全套教程现在分享给大家,//www.bilibili.com/video/BV1Kh41197sz?from=search,9697,233,2020/10/6,博斌教育
90,月薪5k到25K我学了Python后是如何升职加薪的,//www.bilibili.com/video/BV1Xz4y1d76P?from=search,7770,173,2020/10/14,博斌教育
91,太赞了！清华计算机博士终于把Python数据分析讲的如此透彻！保姆级从入门到精通,//www.bilibili.com/video/BV1iQ4y197Lm?from=search,6253,199,2021/6/9,乐学Python
92,全新Python3.9！小白0基础8天入门到入土,//www.bilibili.com/video/BV18K4y137C1?from=search,5212,790,2021/6/10,Python-404
93,市场占有率排第一的Python到底是谁在用？新版Python推动编程全民化,//www.bilibili.com/video/BV1g54y1G7cF?from=search,2891,98,2021/6/14,苏苏思量
94,这可能是B站最全完整版软件测试 Python +Selenium Web自动化测试教程！！（全程实战建议收藏）,//www.bilibili.com/video/BV1co4y1y7wA?from=search,2482,14,2021/6/11,想去阿里的代码狗
95,【2021年最新】手把手教你学Python3.9前导课（完整版）,//www.bilibili.com/video/BV1Zf4y187Er?from=search,1564,229,2021/6/15,野生老码农
96,玩转Excel！清华大佬亲授职场小白的『Python办公教程』（堪称站内最全）,//www.bilibili.com/video/BV1nV411s74P?from=search,796,23,2021/6/15,学习Python的周八
97,五年资深程序员告诉你零基础怎么简单有效的学习Python数据分析经验分享建议收藏保存！！,//www.bilibili.com/video/BV1gv411W7NX?from=search,556,56,2021/6/16,自学Python编程
98,大学期间我就花了一个月的时间就学会了python同学都不敢相信直到看到了这个视频,//www.bilibili.com/video/BV1qg411g7RR?from=search,533,52,2021/6/16,史蒂芬卡卡
99,Python爬虫0基础自学8天速成,//www.bilibili.com/video/BV1M54y1H7oY?from=search,446,8,2021/6/16,路飞编程
100,适合Python入门的6款工具程序员和学生都经常用,//www.bilibili.com/video/BV1Q64y1r7k1?from=search,260,14,2021/6/16,Python自学丫
